State,Agency Type,Agency Name,Population,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society
State,Agency Type,Agency Name,Population,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With An Object,Fondling,"Sex Offenses, Nonforcible",Incest,Statutory Rape,Arson,Bribery,Burglary Breaking & Entering,Counter- feiting Forgery,Destruction Damage Vandalism,Embezzle- ment,Extortion Blackmail,Fraud Offenses,False Pretenses Swindle Confidence Game,Credit Card Automated Teller Machine Fraud,Imperson- ation,Welfare Fraud,Wire Fraud,Larceny- Theft Offenses,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug Narcotic Offenses,Drug Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting Wagering,Operating Promoting Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Porno- graphy Obscene Material,Prost- itution Offenses,Prost- itution,Assisting or Pro- moting Prost- itution,Weapon Law Violations
ALABAMA,Cities,Hoover,82332,870,25,594,251,2,2,,,2,25,13,3,,9,,,,1,,391,55,280,70,,202,38,109,55,,,1718,10,2,550,410,4,418,127,197,88,46,29,495,339,156,,,,,,4,,,,26
ARIZONA,Cities,Apache Junction,36986,559,96,381,82,1,1,,,14,35,13,,,22,2,,2,1,,237,58,447,,1,162,52,62,48,,,725,,,193,12,1,52,52,415,68,21,28,308,152,156,,,,,,1,,,,25
ARIZONA,Cities,Gilbert,214264,1242,123,892,227,5,5,,,54,79,19,2,,58,16,,16,25,2,728,163,2303,20,4,486,130,150,206,,,2549,1,9,632,96,3,720,35,1053,171,59,100,2069,979,1090,,,,,,16,,,,75
ARIZONA,Metropolitan Counties,Yuma2,,555,94,376,85,26,26,,,17,39,8,,2,29,24,,24,10,3,363,26,542,,1,192,83,48,61,,,644,2,,34,,,8,4,596,75,10,24,437,208,229,,,,,,5,2,1,1,40
ARKANSAS,Cities,Alma,5439,197,11,108,78,,,,,1,4,3,,,1,,,,1,,99,15,97,,,13,1,10,2,,,265,,2,59,39,,39,,126,7,1,9,66,44,22,,,,,,1,,,,4
ARKANSAS,Cities,Arkadelphia,10698,274,35,178,61,5,5,,,4,7,5,2,,,,,,1,,106,19,97,,,34,16,15,3,,,340,,1,68,50,,34,3,184,7,3,2,44,37,7,,,,,,,,,,8
ARKANSAS,Cities,Ashdown,4680,72,14,57,1,,,,,1,5,4,,,1,1,,1,,,32,3,52,,,2,1,,1,,,126,,,28,7,,5,2,84,4,1,,32,26,6,,,,,,,,,,2
ARKANSAS,Cities,Atkins,3057,22,1,13,8,,,,,,,,,,,,,,,,30,6,14,,,3,,1,2,,,59,,1,4,10,1,4,,39,4,,2,3,3,,,,,,,,,,,
ARKANSAS,Cities,Austin,2076,14,2,10,2,,,,,,1,1,,,,,,,,,20,,10,,,1,,1,,,,29,,,1,2,,16,,10,,,,44,25,19,,,,,,,,,,2
ARKANSAS,Cities,Bald Knob,2950,71,12,29,30,,,,,,1,,,,1,,,,,,36,15,36,,,3,,3,,,,105,,1,5,17,3,14,1,64,10,1,15,25,20,5,,,,,,,,,,
ARKANSAS,Cities,Barling,4718,56,14,28,14,,,,,2,3,1,,,2,,,,,,12,3,9,,,12,,9,3,,,58,,,,15,,10,1,32,1,,8,259,140,119,,,,,,1,8,4,4,13
ARKANSAS,Cities,Bay,1845,15,2,8,5,,,,,,,,,,,,,,1,,12,,12,,,1,,1,,,,25,,,,2,,1,,22,,,3,20,14,6,,,,,,,,,,2
ARKANSAS,Cities,Bearden,961,12,2,6,4,,,,,,1,1,,,,,,,,,13,1,9,,,1,,1,,,,20,,,1,,,,1,18,1,1,,2,2,,,,,,,,,,,
ARKANSAS,Cities,Beebe,7449,242,32,109,101,,,,,,4,3,,1,,1,1,,1,,64,13,82,,,29,4,19,,,6,199,1,1,19,22,,16,1,139,13,,19,70,44,26,,,,,,,,,,10
